index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
991,Kelly's Heroes,1970,7.6,47790,2,https://www.imdb.com/title/tt0065938/
992,Where Eagles Dare,1968,7.6,56312,3,https://www.imdb.com/title/tt0065207/
993,The Jungle Book,1967,7.6,174545,3,https://www.imdb.com/title/tt0061852/
994,Breakfast at Tiffany's,1961,7.6,174249,3,https://www.imdb.com/title/tt0054698/
995,Giant,1956,7.6,37392,1,https://www.imdb.com/title/tt0049261/
996,Sabrina,1954,7.6,62781,1,https://www.imdb.com/title/tt0047437/
997,From Here to Eternity,1953,7.6,45683,4,https://www.imdb.com/title/tt0045793/
998,Gilda,1946,7.6,31249,1,https://www.imdb.com/title/tt0038559/
999,Lifeboat,1944,7.6,28076,1,https://www.imdb.com/title/tt0037017/
1000,The 39 Steps,1935,7.6,55106,3,https://www.imdb.com/title/tt0026029/
